CHIPSET GRAPHIQUE,
Référence constructeur,GeForce GTX 1050 Ti GAMING X 4G
Marque du chipset,NVIDIA
Puce graphique,GeForce GTX 1050 Ti
Nom de code de la puce,Pascal
Fréquence,1354 MHz (1290 MHz en mode Silent / 1379 MHz en mode OC)
Unités de calcul,768
NVIDIA GPU Boost 3.0 Technology,Oui
Fréquence avec Boost,1468 MHz (1392 MHz en mode Silent / 1493 MHz en mode OC)
Interface,PCI-Express 16x
Version PCI-Express prise en charge,3.0
Connecteur(s) d'alimentation PCI-Express,1 x 6 broches
Dimensions de la carte,229 x 131 x 39 mm
Puissance alimentation recommandée constructeur,300 Watts
MÉMOIRE,
Quantité mémoire,4 Go
Type,G-DDR5
Fréquence mémoire,7008 MHz Mode Gaming & Silent (7108 MHz mode OC
Largeur de bus,"128 bits
"
" ENTRÉES/SORTIES",
Nombre de prises DVI,1
Type de DVI,DVI-D
Compatible Dual-Link,"Oui, une"
Compatible HDCP,Oui
Nombre de prises HDMI,1 (HDMI 2.0)
DisplayPort,1 (version 1.4)
Nombre maximal d'écrans,3 écrans
TECHNOLOGIES,
VR Ready,Non
DirectX,12
OpenGL,4.5
Refroidissement silencieux (passif),Non
Système de refroidissement,MSI TWIN FROZR VI
Type de refroidissement,Ventilateur sur 2 slots
SLI,Non
PhysX,Oui
Low-Profile,Non
ACCESSOIRES,
Accessoires fournis,Driver
Guide d'utilisation,Oui
